NUM_ATIVIDADE|NUM_SEQ_RECURSO|NUM_PLACA|NUM_PREFIXO
2020-025333357-001 |1 |QPO1831 |27725
2020-025333570-001 |1 |QPF9667 |27099
2020-025334587-001 |1 |QPI4457 |27557
2020-025378609-001 |1 |QPH8955 |27523
2020-025388582-001 |1 |QPO1831 |27725
2020-025393140-001 |1 |QPF8841 |27012
2020-025401072-001 |1 |QPX9688 |28682
2020-025420276-001 |1 |QMV0786 |27315
2020-025429671-001 |1 |QPX9789 |28703
2020-025436056-001 |1 |HNH0640 |01061
2020-025443032-001 |1 |QPJ1155 |27586
2020-025443424-001 |1 |QOY8320 |26656
2020-025443619-001 |1 |QOY8320 |26656
2020-025443989-001 |1 |QPJ1155 |27586
2020-025448167-001 |1 |QPT4958 |27808
2020-025449421-001 |1 |QPJ1155 |27586
2020-025450770-001 |1 |QPP9414 |27761
2020-025460068-001 |1 |QPO0442 |27694
2020-025461426-001 |1 |QMV1151 |27867
2020-025464733-001 |1 |QPJ1155 |27586
2020-025469780-001 |1 |QPP9240 |27759
2020-025475432-001 |1 |QMV1151 |27867
2020-025475536-001 |1 |QMV1151 |27867
2020-025476976-001 |1 |OWH6072 |22089
2020-025476976-001 |2 |HMH9501 |19503
2020-025476976-001 |3 |HMH9527 |19477
2020-025477024-001 |1 |OWH6072 |22089
2020-025477024-001 |2 |HMH9501 |19503
2020-025477024-001 |3 |HMH9527 |19477
2020-025492392-001 |1 |OPQ9789 |20660
2020-025504830-001 |1 |QOY8233 |26568
2020-025509701-001 |1 |QPF9667 |27099
2020-025511362-001 |1 |QOY8077 |26614
2020-025525498-001 |1 |QPR4862 |27778
2020-025533271-001 |1 |QOY8077 |26614
2020-025542125-001 |1 |QPO0422 |27678
2020-025548423-001 |1 |PUE8380 |01385
2020-025560521-001 |1 |QPF8938 |27018
2020-025590320-001 |1 |QPP9240 |27759
2020-025591849-001 |1 |OQM9572 |21951
2020-025598580-001 |1 |HMG4625 |00340
2020-025599910-001 |1 |QMV1627 |28356
2020-025606381-001 |1 |PUE9651 |25324
2020-025625726-001 |1 |PUE9014 |25490
2020-025626116-001 |1 |PUE9014 |25490
2020-025654743-001 |1 |QMV0334 |25927
2020-025658124-001 |1 |QUY0550 |29451
2020-025665022-001 |1 |QMV1737 |28395
2020-025665994-001 |1 |QPO0429 |27708
2020-025666538-001 |1 |QOY8320 |26656
2020-025666616-001 |1 |QOY8320 |26656
2020-025675645-001 |1 |QMV0334 |25927
2020-025689062-001 |1 |QOY7862 |26627
2020-025716931-001 |1 |ORC8540 |22382
2020-025725800-001 |1 |QPK2420 |27468
2020-025734595-001 |1 |QMV4107 |26487
2020-025734595-001 |2 |QMV4157 |26516
2020-025741712-001 |1 |QPO0383 |27692
2020-025750858-001 |1 |QUZ2486 |29251
2020-025786930-001 |1 |OQM9007 |21381
2020-025802884-001 |1 |HNH0588 |29456
2020-025831284-001 |1 |QPB6173 |26984
2020-025842438-001 |1 |QUS1098 |29066
2020-025844123-001 |1 |QPH8861 |27488
2020-025872421-001 |1 |QMV4157 |26516
2020-025872421-001 |2 |QMV4107 |26487
2020-025872735-001 |1 |QPO0383 |27692
2020-025901782-001 |1 |ORC8553 |22374
2020-025902276-001 |1 |QUZ2486 |29251
2020-025937498-001 |1 |ORC8770 |22392
2020-025947032-001 |1 |PUE9067 |25445
2020-025962069-001 |1 |QUV9074 |29054
2020-025971135-001 |1 |QUS2224 |28883
2020-025973106-001 |1 |QPR4862 |27778
2020-025976006-001 |1 |QPH8956 |27524
2020-025980647-001 |1 |ORC8981 |01286
2020-025994220-001 |1 |ORC8982 |01287
2020-026010937-001 |1 |QPT4928 |27812
2020-026010952-001 |1 |QUT9525 |28996
2020-026017716-001 |1 |QPO0383 |27692
2020-026022327-001 |1 |HNH0644 |01065
2020-026039744-001 |1 |QPT4928 |27812
2020-026042302-001 |1 |QUT6890 |28887
2020-026046630-001 |1 |QUT6890 |28887
2020-026048130-001 |1 |QPF8603 |26998
2020-026054400-001 |1 |QMV2213 |29402
2020-026057668-001 |1 |QPP9240 |27759
